Number of Nodes,Number of Iterations
100,279
200,590
300,919
400,1283
500,1722
600,2111
700,2491
800,2865
900,3346
1000,3745
1100,4236
1200,4560
1300,5208
1400,5576
1500,5837
1600,6291
1700,6806
1800,7288
1900,7609
2000,8143
2100,8693
2200,9205
2300,9420
2400,9857
2500,10320
2600,10782
2700,11474
2800,12094
2900,12190
3000,12675
3100,13266
3200,13837
3300,14278
3400,14357
3500,14902
3600,15845
3700,16221
3800,16590
3900,17633
4000,18115
4100,18243
4200,18679
4300,18856
4400,19981
4500,19952
4600,20534
4700,21533
4800,21828
4900,22825
5000,22677
5100,22589
5200,24119
5300,24566
5400,24157
5500,25622
5600,25882
5700,26486
5800,27337
5900,26833
6000,27253
6100,28216
6200,28736
6300,29610
6400,30431
6500,29444
6600,30728
6700,31157
6800,31622
6900,32634
7000,33302
7100,33687
7200,34673
7300,35077
7400,34778
7500,35655
7600,35345
7700,36253
7800,37698
7900,37477
8000,38175
8100,38407
8200,39139
8300,40115
8400,41049
8500,40485
8600,41782
8700,41467
8800,43156
8900,43113
9000,42777
9100,44536
9200,44304
9300,45822
9400,44965
9500,46554
9600,47468
9700,47431
9800,47565
9900,48776
10000,48380
